Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
To Be Loved,PENTAGONS,2/20/61,84,48,10,29,407749,0.512,0.38,5,-8.275,1,0.0248,0.822,0,0.0978,0.6,68.049,149160,4,0,0,0,0,0,25,0,0,1
The Second Time Around,FRANK SINATRA,3/6/61,86,50,7,25,155767,0.246,0.209,0,-12.083,1,0.0319,0.907,0,0.135,0.152,86.12,180467,3,1,0,1,9,31,82,0,0,19
Funny,JOE HINTON,8/15/64,84,13,12,4,70258,0.417,0.406,10,-9.005,1,0.0303,0.132,0,0.165,0.0978,102.458,186107,3,0,0,0,0,7,8,0,0,3
I'm In The Mood For Love,CHIMES,3/27/61,92,38,9,5,151212,0.292,0.64,1,-8.033,1,0.0308,0.773,0.000202,0.197,0.815,203.994,149293,3,0,0,0,0,0,32,0,0,1
Ain't It Baby,MIRACLES,3/27/61,85,49,6,8,8246,0.535,0.812,2,-7.602,1,0.0549,0.781,0,0.193,0.871,132.232,155240,4,0,0,0,0,0,51,1,0,12
Lazy River,BOBBY DARIN,2/6/61,94,14,10,31,210296,0.481,0.634,8,-1.91,1,0.037,0.661,0,0.0799,0.548,133.569,152320,4,0,0,1,2,5,64,1,6,14
Bumble Boogie,B. BUMBLE AND THE STINGERS,3/20/61,104,21,11,6,341346,0.541,0.754,4,-11.9,1,0.0456,0.716,0.903,0.0931,0.802,171.188,134827,4,0,0,0,0,0,21,0,0,3
Baby Sittin' Boogie,BUZZ CLIFFORD,1/9/61,96,6,14,4,73973,0.476,0.679,1,-7.001,1,0.107,0.801,0,0.257,0.812,139.291,124653,4,0,0,0,0,0,16,0,1,0
The Continental Walk,HANK BALLARD,4/3/61,73,33,8,16,8072,0.722,0.454,1,-10.849,1,0.0527,0.633,1.47E-05,0.174,0.82,111.292,222733,3,0,0,0,0,1,25,0,2,6
Your One And Only Love,JACKIE WILSON,3/13/61,100,40,6,3,22711,0.34,0.369,10,-9.975,1,0.0301,0.837,1.01E-06,0.136,0.469,109.959,165867,1,0,0,0,0,2,64,0,4,28
Merry-Go-Round,MARV JOHNSON,3/6/61,107,61,7,3,34838,0.645,0.421,9,-9.28,0,0.0273,0.842,3.59E-05,0.0923,0.911,99.448,156280,3,0,0,0,0,0,27,0,2,5
Frogg,BROTHERS FOUR,4/3/61,118,32,6,18,65910,0.534,0.298,1,-16.544,1,0.123,0.806,1.94E-06,0.116,0.726,177.467,161533,4,0,0,0,0,3,45,0,1,3
Sleepy Eyed John,JOHNNY HORTON,3/27/61,89,54,7,31,142556,0.653,0.578,0,-13.647,1,0.0974,0.52,0,0.0711,0.866,103.166,159307,4,0,0,0,0,1,52,0,3,5
The Very Thought Of You,RICK NELSON,4/18/64,107,26,8,0,2412,0.497,0.0753,5,-17.66,0,0.0357,0.967,0.856,0.104,0.444,73.924,235400,4,0,0,0,1,1,57.77835159,0,1,2
Ling-Ting-Tong,BUDDY KNOX,3/6/61,97,65,7,11,53740,0.699,0.459,9,-12.138,1,0.0317,0.531,0,0.157,0.936,134.814,145573,4,0,0,0,0,0,40,0,0,4
Foolin' Around,CHANGING FACES,11/19/94,96,38,20,38,3621653,0.591,0.574,5,-8.276,0,0.0269,0.228,1.43E-05,0.0794,0.229,131.495,268160,4,0,0,0,0,0,46,0,2,2
The Watusi,VIBRATIONS,2/13/61,107,25,9,9,57759,0.633,0.682,1,-6.14,1,0.0321,0.466,9.19E-05,0.561,0.831,129.804,154027,4,0,0,0,0,0,23,0,0,1
Welcome Home,WALTER JACKSON,5/8/65,134,95,8,9,71073,0.452,0.378,4,-11.406,1,0.0303,0.759,0,0.115,0.585,125.347,162440,4,0,0,0,0,0,23,0,0,4
Trees,THE PLATTERS,3/20/61,114,62,6,7,18931,0.335,0.226,3,-12.422,1,0.0335,0.899,1.59E-06,0.0901,0.272,126.328,148827,4,0,0,0,0,0,63,0,0,8
Running Scared,ROY ORBISON,4/10/61,71,1,17,49,111717,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,132040,3,0,0,1,5,9,71,2,6,15
Seventeen,WINGER,2/25/89,78,26,16,52,7179592,0.577,0.676,8,-11.931,1,0.0295,0.000895,2.29E-06,0.0625,0.676,95.98,245267,4,0,0,0,0,0,52,0,0,4
Exodus,BOB MARLEY AND THE WAILERS,8/13/77,103,103,5,51,2454572,0.869,0.735,7,-8.501,1,0.0552,0.0296,0.00339,0.163,0.944,132.821,460227,4,0,0,1,0,6,84,0,0,0
When I Fall In Love,CELINE DION &amp; CLIVE GRIFFIN,7/17/93,80,23,20,39,220881,0.19,0.241,8,-13.251,1,0.0322,0.577,0,0.0952,0.107,68.353,260827,4,1,0,0,5,16,78,0,0,1
Little Pedro,THE OLYMPICS,3/13/61,102,76,6,0,987,0.63,0.741,0,-8.361,1,0.0884,0.481,0,0.184,0.852,81.03,142373,4,0,0,0,0,0,27,0,0,7
The Blizzard,JIM REEVES,3/13/61,107,62,5,31,1442116,0.624,0.202,0,-18.466,1,0.0412,0.841,0.00349,0.106,0.481,126.72,202493,4,0,0,0,0,10,58,0,1,12
What'd I Say,RAY CHARLES,6/29/59,113,6,16,58,2857509,0.54,0.681,4,-5.44,1,0.0508,0.808,0,0.162,0.794,88.385,307053,4,0,0,1,17,37,57.77835159,2,6,18
Glory Of Love,DON GARDNER &amp; DEE DEE FORD,8/11/62,99,75,7,0,18802,0.743,0.271,1,-10.84,1,0.0383,0.908,4.47E-05,0.121,0.428,107.951,197040,4,0,0,0,0,0,14,0,0,3
Triangle,JANIE GRANT,3/27/61,96,29,13,10,64483,0.674,0.59,0,-8.735,1,0.0445,0.306,2.04E-06,0.0884,0.843,121.33,145093,4,0,0,0,0,0,9,0,0,2
Bonanza,JOHNNY CASH,9/15/62,94,94,2,31,694595,0.548,0.492,3,-10.72,1,0.0287,0.898,0.0393,0.152,0.802,102.62,140307,4,0,0,1,0,1,80,0,1,27
Underwater,FROGMEN,4/3/61,93,44,8,13,13519,0.491,0.909,0,-5.21,1,0.0406,0.654,0.942,0.0802,0.923,143.415,125920,4,0,0,0,0,0,10,0,0,1
I'll Just Have A Cup Of Coffee (Then I'll Go),CLAUDE GRAY,3/13/61,119,84,6,1,81395,0.692,0.366,10,-16.514,1,0.0343,0.759,0.0925,0.364,0.7,113.011,131987,4,0,0,0,0,0,10,0,0,2
Come Along,MAURICE WILLIAMS &amp; THE ZODIACS,4/10/61,87,83,2,13,1099,0.543,0.662,10,-8.164,1,0.0572,0.744,0,0.233,0.729,121.901,102653,4,0,0,0,0,0,49,0,0,1
La Pachanga,AUDREY ARNO &amp; THE HAZY OSTERWALD SEXTET,4/3/61,114,87,3,0,2086,0.448,0.866,2,-5.387,1,0.236,0.554,0,0.482,0.866,124.123,155016,4,0,0,0,0,0,1,0,0,1
Lullaby Of Love,FRANK GARI,4/10/61,89,23,12,0,2211,0.335,0.0329,9,-23.597,0,0.0399,0.98,0.22,0.108,0.136,123.396,255773,4,0,0,0,0,0,57.77835159,0,0,2
Mr. Pride,CHUCK JACKSON,4/10/61,91,91,2,0,5335,0.382,0.462,0,-11.579,1,0.0365,0.971,1.19E-05,0.361,0.693,96.364,145322,3,0,0,0,0,0,57.77835159,0,0,6
A Scottish Soldier,ANDY STEWART,6/19/61,83,69,3,13,982368,0.392,0.289,3,-14.878,1,0.0518,0.91,0,0.142,0.571,84.488,211147,3,0,0,0,0,0,30,0,0,2
I Told You So,KEITH URBAN,5/26/07,94,48,16,43,266417,0.627,0.841,1,-5.885,0,0.0316,0.00788,1.47E-06,0.0552,0.73,105.995,242760,4,0,0,0,4,18,78,0,0,30
Come On Over,SHANIA TWAIN,10/23/99,74,58,10,44,4852668,0.618,0.92,11,-4.529,1,0.0457,0.112,0,0.691,0.966,76.512,173507,4,0,0,0,5,18,75,0,3,15
Saved,LaVERN BAKER,4/10/61,95,37,7,24,77248,0.608,0.6,10,-12.372,1,0.0527,0.575,0,0.437,0.932,145.735,174733,4,0,0,0,0,0,46,0,1,4
California Sun,RIVIERAS,1/18/64,123,5,11,35,2101633,0.411,0.908,3,-8.693,1,0.0535,0.409,0.0842,0.106,0.962,169.63,146133,4,0,0,0,0,0,28,0,1,3
Hello Walls,FARON YOUNG,4/10/61,97,12,15,43,3885344,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73E-06,0.114,0.695,101.489,146840,4,1,0,0,0,1,43,0,0,4
